CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI,ADRECA,TELEFON,counter_NEG,counter_POS,nor_counter_NEG,nor_counter_POS
K011,Transports i serveis relacionats,Tramvia,427564.04,4585399.25,427472.136,4585198.287,2.132153,41.41506500000001,TRAMVIA BLAU - AV. TIBIDABO (Teodor Roviralta-AdriÃ  Margarit)-,5.0,25.0,SarriÃ -Sant Gervasi,Sant Gervasi - la Bonanova,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432073.545,4584806.079,431981.599,4584605.12,2.186173,41.410117,METRO (L2) - CLOT (C. de Sibelius)-,10.0,64.0,Sant MartÃ­,el Camp de l'Arpa del Clot,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,425129.002,4580230.362,425037.119,4580029.448,2.103659,41.368289,METRO (L1) - CAN SERRA-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,425092.7620000001,4580159.507,425000.879,4579958.593,2.103234,41.367647,METRO (L1) - CAN SERRA-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,429810.742,4581811.859,429718.816,4581610.929,2.159449,41.382955,METRO (L1) - URGELL (Gv. Corts Catalanes)-,2.0,8.0,Eixample,l'Antiga Esquerra de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,430105.681,4581475.704,430013.752,4581274.777,2.163015,41.379953,METRO (L2) - SANT ANTONI-,2.0,10.0,Eixample,Sant Antoni,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,423046.915,4579041.948,422955.051,4578841.045,2.078917,41.35738900000001,METRO (L5) - GAVARRA-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,430492.299,4587095.408,430400.368,4586894.429,2.166992,41.430601,METRO (L5) - VILAPICINA (C. de Canfranc)-,8.0,46.0,Nou Barris,el TurÃ³ de la Peira,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,429843.868,4581779.646000002,429751.942,4581578.716,2.1598490000000004,41.382668,METRO (L1) - URGELL (C. de Villarroel)-,2.0,10.0,Eixample,Sant Antoni,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,430556.705,4587119.5430000005,430464.774,4586918.563,2.16776,41.430824,METRO (L5) - VILAPICINA-,8.0,46.0,Nou Barris,el TurÃ³ de la Peira,,,0,0,0,0
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),416940.284,4583728.731000002,416848.477,4583527.787,2.00528,41.398991,FGC - CAN ROS-,,,,,,,0,0,0,0
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),419088.184,4579775.774,418996.356,4579574.866,2.031499,41.363609,FGC - COLÃ’NIA GÃœELL-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,426420.871,4583563.017,426328.977,4583362.072,2.1186990000000003,41.398423,FGC (L6) - REINA ELISENDA (Sortida J. V. Foix)-,5.0,23.0,SarriÃ -Sant Gervasi,SarriÃ ,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,428173.946,4581719.551,428082.035,4581518.622,2.139887,41.381979,METRO (L3) - SANTS ESTACIÃ“ (C. d'Enric BargÃ©s)-,3.0,18.0,Sants-MontjuÃ¯c,Sants,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,430207.632,4582096.25,430115.7020000001,4581895.317,2.1641630000000003,41.385551,METRO (L1) - UNIVERSITAT-,2.0,10.0,Eixample,Sant Antoni,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,429881.373,4583294.571,429789.447,4583093.627,2.1601220000000003,41.396315,METRO (L3) - DIAGONAL (Av. Diagonal)-,2.0,7.0,Eixample,la Dreta de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431187.374,4581149.853,431095.435,4580948.928,2.175987,41.377112,METRO (L3) - DRASSANES (C. del Portal de Santa Madrona)-,1.0,1.0,Ciutat Vella,el Raval,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431096.58200000005,4583131.93,431004.644,4582930.987,2.174676,41.394956,METRO (L2) - TETUAN (Pl. de Tetuan)-,2.0,7.0,Eixample,la Dreta de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431088.588,4587052.485,430996.652,4586851.506,2.1741330000000003,41.430266,METRO (L5) - VIRREI AMAT (Pg. Fabra i Puig)-,8.0,44.0,Nou Barris,Vilapicina i la Torre Llobeta,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432167.769,4585437.507,432075.822,4585236.5419999985,2.187229,41.415812,METRO (L1) - NAVAS (C. de PalÃ¨ncia)-,9.0,63.0,Sant Andreu,Navas,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431733.43,4589089.779,431641.488,4588888.781,2.181619,41.44867,"METRO (L4,L11) - TRINITAT NOVA (Aiguablava)-",8.0,53.0,Nou Barris,la Trinitat Nova,,,0,0,0,0
